Date,Product ID,Image,BAAP SKU,Vendor SKU,Name,Quantity,Wholesale Price,Vendor Price,MRP,Vendor,Vendor ID,Category
09-06-2026,41663,https://live.staticflickr.com/65535/52371018336_5a4c1058ea_o_d.jpg,BSB803BSAAYYYlpesh_Green,BSB803BSAAYYYlpesh_Green,"Generic Women's Lycra Blend Saree with Blouse (Green, 5-6 Mtrs)",0,629,629,629,3 Buddy Fashion,116,Sarees
09-06-2026,41664,https://live.staticflickr.com/65535/52370073737_152ee10e50_o_d.jpg,BSB803BSAAYYYlpesh_Grey,BSB803BSAAYYYlpesh_Grey,"Generic Women's Lycra Blend Saree with Blouse (Grey, 5-6 Mtrs)",0,629,629,629,3 Buddy Fashion,116,Sarees
09-06-2026,41665,https://live.staticflickr.com/65535/52371245638_6d18e1a4b2_o_d.jpg,BSB803BSAAYYYlpesh_Rama,BSB803BSAAYYYlpesh_Rama,"Generic Women's Lycra Blend Saree with Blouse (Rama, 5-6 Mtrs)",0,629,629,629,3 Buddy Fashion,116,Sarees
09-06-2026,41666,https://live.staticflickr.com/65535/52371018271_7f27cfc2ac_o_d.jpg,BSB803BSAAYYYlpesh_Red,BSB803BSAAYYYlpesh_Red,"Generic Women's Lycra Blend Saree with Blouse (Red, 5-6 Mtrs)",0,629,629,629,3 Buddy Fashion,116,Sarees
09-06-2026,41667,https://live.staticflickr.com/65535/52371436210_bb8beb679c_o_d.jpg,BSB803BSAAYYYlpesh_Wine,BSB803BSAAYYYlpesh_Wine,"Generic Women's Lycra Blend Saree with Blouse (Wine, 5-6 Mtrs)",0,629,629,629,3 Buddy Fashion,116,Sarees
09-06-2026,41668,https://live.staticflickr.com/65535/52371436170_ddca681cdc_o_d.jpg,BSB803BSACYYYhandu_Gajari,BSB803BSACYYYhandu_Gajari,"Generic Women's Super Line Saree with Blouse (Gajari, 5-6 Mtrs)",0,265,265,265,3 Buddy Fashion,116,Sarees
09-06-2026,41669,https://live.staticflickr.com/65535/52371018236_7bdfbcf88d_o_d.jpg,BSB803BSACYYYhandu_Green,BSB803BSACYYYhandu_Green,"Generic Women's Super Line Saree with Blouse (Green, 5-6 Mtrs)",0,265,265,265,3 Buddy Fashion,116,Sarees
09-06-2026,41670,https://live.staticflickr.com/65535/52371245508_98be2f91a9_o_d.jpg,BSB803BSACYYYhandu_Orange,BSB803BSACYYYhandu_Orange,"Generic Women's Super Line Saree with Blouse (Orange, 5-6 Mtrs)",0,265,265,265,3 Buddy Fashion,116,Sarees
09-06-2026,41671,https://live.staticflickr.com/65535/52371436095_69b7ed8bab_o_d.jpg,BSB803BSACYYYhandu_Pink,BSB803BSACYYYhandu_Pink,"Generic Women's Super Line Saree with Blouse (Pink, 5-6 Mtrs)",0,265,265,265,3 Buddy Fashion,116,Sarees
09-06-2026,41672,https://live.staticflickr.com/65535/52371018171_e7a430b8fa_o_d.jpg,BSB803BSACYYYhandu_Rama,BSB803BSACYYYhandu_Rama,"Generic Women's Super Line Saree with Blouse (Rama, 5-6 Mtrs)",0,265,265,265,3 Buddy Fashion,116,Sarees
09-06-2026,41673,https://live.staticflickr.com/65535/52371018126_2eecf3cf75_o_d.jpg,BSB803BSACYYYhandu_Yellow,BSB803BSACYYYhandu_Yellow,"Generic Women's Super Line Saree with Blouse (Yellow, 5-6 Mtrs)",0,265,265,265,3 Buddy Fashion,116,Sarees
09-06-2026,41674,https://live.staticflickr.com/65535/52371436025_9fe616a440_o_d.jpg,BSB803BSADYYYhuleti_Black,BSB803BSADYYYhuleti_Black,"Generic Women's Joya Silk Saree with Blouse (Black, 5-6 Mtrs)",20,615,615,615,3 Buddy Fashion,116,Sarees
09-06-2026,41675,https://live.staticflickr.com/65535/52371018056_fd861f5f1e_o_d.jpg,BSB803BSADYYYhuleti_Blue,BSB803BSADYYYhuleti_Blue,"Generic Women's Joya Silk Saree with Blouse (Blue, 5-6 Mtrs)",20,615,615,615,3 Buddy Fashion,116,Sarees
09-06-2026,41676,https://live.staticflickr.com/65535/52371018036_f94ef84f21_o_d.jpg,BSB803BSADYYYhuleti_Orange,BSB803BSADYYYhuleti_Orange,"Generic Women's Joya Silk Saree with Blouse (Orange, 5-6 Mtrs)",20,615,615,615,3 Buddy Fashion,116,Sarees
09-06-2026,41677,https://live.staticflickr.com/65535/52371435985_b854aa7fe8_o_d.jpg,BSB803BSADYYYhuleti_Pink,BSB803BSADYYYhuleti_Pink,"Generic Women's Joya Silk Saree with Blouse (Pink, 5-6 Mtrs)",20,615,615,615,3 Buddy Fashion,116,Sarees
09-06-2026,41678,https://live.staticflickr.com/65535/52371327414_42f93010ed_o_d.jpg,BSB803BSADYYYhuleti_Sky,BSB803BSADYYYhuleti_Sky,"Generic Women's Joya Silk Saree with Blouse (Sky, 5-6 Mtrs)",20,615,615,615,3 Buddy Fashion,116,Sarees
09-06-2026,41679,https://live.staticflickr.com/65535/52351821601_9bc7961cb8_o_d.jpg,BSB803BSAKYYYashmiri_Blue,BSB803BSAKYYYashmiri_Blue,"Generic Women's Satin Silk Saree with Blouse (Blue, 5-6 Mtrs)",0,265,265,265,3 Buddy Fashion,116,Sarees
09-06-2026,41680,https://live.staticflickr.com/65535/52351821556_9f42789b93_o_d.jpg,BSB803BSAKYYYashmiri_Green,BSB803BSAKYYYashmiri_Green,"Generic Women's Satin Silk Saree with Blouse (Green, 5-6 Mtrs)",0,265,265,265,3 Buddy Fashion,116,Sarees
09-06-2026,41681,https://live.staticflickr.com/65535/52371435925_13324f2d8c_o_d.jpg,BSB803BSAKYYYashmiri_Grey,BSB803BSAKYYYashmiri_Grey,"Generic Women's Satin Silk Saree with Blouse (Grey, 5-6 Mtrs)",0,265,265,265,3 Buddy Fashion,116,Sarees
09-06-2026,41682,https://live.staticflickr.com/65535/52371327334_87571785d3_o_d.jpg,BSB803BSAKYYYashmiri_Mustard,BSB803BSAKYYYashmiri_Mustard,"Generic Women's Satin Silk Saree with Blouse (Mustard, 5-6 Mtrs)",0,265,265,265,3 Buddy Fashion,116,Sarees
09-06-2026,41683,https://live.staticflickr.com/65535/52371017931_a79eb8a3e5_o_d.jpg,BSB803BSAKYYYashmiri_Orange,BSB803BSAKYYYashmiri_Orange,"Generic Women's Satin Silk Saree with Blouse (Orange, 5-6 Mtrs)",20,265,265,265,3 Buddy Fashion,116,Sarees
09-06-2026,41684,https://live.staticflickr.com/65535/52371435865_21bcef6666_o_d.jpg,BSB803BSAKYYYashmiri_Rama,BSB803BSAKYYYashmiri_Rama,"Generic Women's Satin Silk Saree with Blouse (Rama, 5-6 Mtrs)",0,265,265,265,3 Buddy Fashion,116,Sarees
09-06-2026,41685,https://live.staticflickr.com/65535/52371435810_fb2911ecdd_o_d.jpg,BSB803BSAKYYYashmiri_Red,BSB803BSAKYYYashmiri_Red,"Generic Women's Satin Silk Saree with Blouse (Red, 5-6 Mtrs)",19,265,265,265,3 Buddy Fashion,116,Sarees
09-06-2026,41686,https://live.staticflickr.com/65535/52371017886_7f2407830d_o_d.jpg,BSB803BSAKYYYGF_Green,BSB803BSAKYYYGF_Green,"Generic Women's Vichitra Saree with Blouse (Green, 5-6 Mtrs)",20,769,769,769,3 Buddy Fashion,116,Sarees
09-06-2026,41687,https://live.staticflickr.com/65535/52371327254_38b51d0124_o_d.jpg,BSB803BSAKYYYGF_Pink,BSB803BSAKYYYGF_Pink,"Generic Women's Vichitra Saree with Blouse (Pink, 5-6 Mtrs)",20,769,769,769,3 Buddy Fashion,116,Sarees
09-06-2026,41688,https://live.staticflickr.com/65535/52371017846_5caaf3c844_o_d.jpg,BSB803BSAKYYYGF_Rama,BSB803BSAKYYYGF_Rama,"Generic Women's Vichitra Saree with Blouse (Rama, 5-6 Mtrs)",16,769,769,769,3 Buddy Fashion,116,Sarees
09-06-2026,41689,https://live.staticflickr.com/65535/52904651005_ccc8185a46_o_d.jpg,BSB803BSAKYYYGF_Red,BSB803BSAKYYYGF_Red,"Generic Women's Vichitra Saree with Blouse (Red, 5-6 Mtrs)",20,769,769,769,3 Buddy Fashion,116,Sarees
09-06-2026,41690,https://live.staticflickr.com/65535/52352250215_b11fca5a77_o_d.jpg,BSB803BSAMYYYalai_Blue,BSB803BSAMYYYalai_Blue,"Generic Women's Lycra Blend Saree with Blouse (Blue, 5-6 Mtrs)",1,349,349,349,Return products,83,Sarees
09-06-2026,41691,https://live.staticflickr.com/65535/52351823501_7e09cd2ec7_o_d.jpg,BSB803BSAMYYYalai_Coffee,BSB803BSAMYYYalai_Coffee,"Generic Women's Lycra Blend Saree with Blouse (Coffee, 5-6 Mtrs)",18,349,349,349,3 Buddy Fashion,116,Sarees
09-06-2026,41692,https://live.staticflickr.com/65535/52350879052_7a9085f47d_o_d.jpg,BSB803BSAMYYYalai_Green,BSB803BSAMYYYalai_Green,"Generic Women's Lycra Blend Saree with Blouse (Green, 5-6 Mtrs)",20,349,349,349,3 Buddy Fashion,116,Sarees
09-06-2026,41693,https://live.staticflickr.com/65535/52350879017_eef84193a3_o_d.jpg,BSB803BSAMYYYalai_Grey,BSB803BSAMYYYalai_Grey,"Generic Women's Lycra Blend Saree with Blouse (Grey, 5-6 Mtrs)",0,349,349,349,3 Buddy Fashion,116,Sarees
09-06-2026,41694,https://live.staticflickr.com/65535/52352150089_8482f9f1c6_o_d.jpg,BSB803BSAMYYYalai_Mustard,BSB803BSAMYYYalai_Mustard,"Generic Women's Lycra Blend Saree with Blouse (Mustard, 5-6 Mtrs)",17,349,349,349,3 Buddy Fashion,116,Sarees
09-06-2026,41695,https://live.staticflickr.com/65535/52352149994_06ed2077b2_o_d.jpg,BSB803BSAMYYYalai_Orange,BSB803BSAMYYYalai_Orange,"Generic Women's Lycra Blend Saree with Blouse (Orange, 5-6 Mtrs)",1,349,349,349,Return products,83,Sarees
09-06-2026,41696,https://live.staticflickr.com/65535/52351826106_9a676289c1_o_d.jpg,BSB803BSAMYYYalai_Pink,BSB803BSAMYYYalai_Pink,"Generic Women's Lycra Blend Saree with Blouse (Pink, 5-6 Mtrs)",1,349,349,349,Return products,83,Sarees
09-06-2026,41697,https://live.staticflickr.com/65535/52352149834_d75fd0cefd_o_d.jpg,BSB803BSAMYYYalai_Pista,BSB803BSAMYYYalai_Pista,"Generic Women's Lycra Blend Saree with Blouse (Pista, 5-6 Mtrs)",20,349,349,349,3 Buddy Fashion,116,Sarees
